150;300;300;600;600;900;900;1500;1500;2500;2500
rf;rf;rtj;rf;rtj;rf;rtj;rf;rtj;rf;rtj
184;194;206;206;206;273;273;273;273;308;308
184;197;210;210;210;292;292;292;292;318;318
222;235;248;251;251;333;333;333;333;359;362
254;267;283;286;289;375;378;375;378;413;416
299;318;333;337;340;387;389;406;408;;
353;368;384;394;397;464;466;483;485;;
451;473;489;508;511;;;;;;
543;568;580;610;612;;;;;;
