150;300;600;900;1500;2500
16;16;17;26;26;32
16;16;17;34;34;41
22;22;24;45;45;53
26;26;29;65;65;116
58;58;58;90;90;
89;89;98;186;186;
161;161;204;;;
309;309;350;;;
